"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 16 20:37:48 UTC 2026","Mon Feb 16 20:37:54 UTC 2026","6005","mobile-safari","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-07: Контрастность текста (базовая проверка)",""
"passed","Mon Feb 16 20:38:50 UTC 2026","Mon Feb 16 20:38:56 UTC 2026","6704","firefox","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-03: Планшет - корректное отображение",""
"passed","Mon Feb 16 20:37:41 UTC 2026","Mon Feb 16 20:37:50 UTC 2026","9006","mobile-safari","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-06: Кнопки имеют доступные имена",""
"passed","Mon Feb 16 20:38:47 UTC 2026","Mon Feb 16 20:38:51 UTC 2026","4368","chromium","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-02: Мобильное устройство - все ключевые элементы видны",""
"passed","Mon Feb 16 20:39:43 UTC 2026","Mon Feb 16 20:39:49 UTC 2026","6093","webkit","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-03: Планшет - корректное отображение",""
"passed","Mon Feb 16 20:37:32 UTC 2026","Mon Feb 16 20:37:39 UTC 2026","7312","webkit","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-04: Ссылки имеют различимый текст",""
"passed","Mon Feb 16 20:38:03 UTC 2026","Mon Feb 16 20:38:09 UTC 2026","6289","firefox","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-05: Проверка работы выбора дизайна",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","0","firefox","functional/edge-cases.spec.ts","Edge Cases - Длина и формат данных @functional @P1","","","EDGE-04: Максимальная длина заголовка события (255 символов)",""
"passed","Mon Feb 16 20:37:50 UTC 2026","Mon Feb 16 20:37:57 UTC 2026","6163","chromium","functional/widget-designs.spec.ts","Widget Combinations @functional @P2","","","Modern design with blue theme and medium size",""
"skipped","Mon Feb 16 20:37:59 UTC 2026","Mon Feb 16 20:37:59 UTC 2026","0","mobile-safari","functional/edge-cases.spec.ts","Edge Cases - Граничные условия дат @functional @P2","","","EDGE-13: Событие на границе месяцев",""
"skipped","Mon Feb 16 20:38:57 UTC 2026","Mon Feb 16 20:38:57 UTC 2026","13","firefox","visual/responsive.spec.ts","Визуальные тесты - Устройства @visual @P1","","","VIS-07: iPhone 12 - полная проверка",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","0","firefox","functional/edge-cases.spec.ts","Edge Cases - Параллельные действия @functional @P2","","","EDGE-11: Быстрые последовательные клики",""
"passed","Mon Feb 16 20:37:03 UTC 2026","Mon Feb 16 20:37:08 UTC 2026","4972","mobile-chrome","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-04: Ссылки имеют различимый текст",""
"passed","Mon Feb 16 20:37:34 UTC 2026","Mon Feb 16 20:37:39 UTC 2026","5626","chromium","functional/widget-designs.spec.ts","Widget Color Themes @functional @P1","","","Theme: blue - Синяя тема",""
"passed","Mon Feb 16 20:37:11 UTC 2026","Mon Feb 16 20:37:17 UTC 2026","6075","chromium","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-06: Кнопки имеют доступные имена",""
"passed","Mon Feb 16 20:37:08 UTC 2026","Mon Feb 16 20:37:13 UTC 2026","5162","mobile-chrome","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-05: Формы имеют связанные labels",""
"passed","Mon Feb 16 20:38:54 UTC 2026","Mon Feb 16 20:39:00 UTC 2026","6600","webkit","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-06: Проверка наличия кнопки копирования",""
"passed","Mon Feb 16 20:39:37 UTC 2026","Mon Feb 16 20:39:43 UTC 2026","6713","webkit","smoke/basic-rendering.spec.ts","Smoke тесты - Базовое отображение @smoke @P0","","","SMOKE-08: URL страницы корректный после загрузки",""
"passed","Mon Feb 16 20:36:58 UTC 2026","Mon Feb 16 20:37:06 UTC 2026","7736","chromium","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-01: Страница имеет атрибут lang",""
"passed","Mon Feb 16 20:37:09 UTC 2026","Mon Feb 16 20:37:15 UTC 2026","5800","firefox","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-07: Контрастность текста (базовая проверка)",""
"passed","Mon Feb 16 20:37:50 UTC 2026","Mon Feb 16 20:37:56 UTC 2026","6430","mobile-chrome","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: large - Большой размер",""
"passed","Mon Feb 16 20:38:41 UTC 2026","Mon Feb 16 20:38:48 UTC 2026","7410","mobile-safari","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-03: Проверка наличия поля с кодом вставки",""
"passed","Mon Feb 16 20:37:32 UTC 2026","Mon Feb 16 20:37:39 UTC 2026","7455","webkit","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-03: Страница имеет основной заголовок h1",""
"skipped","Mon Feb 16 20:37:26 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","0","chromium","functional/edge-cases.spec.ts","Edge Cases - Даты и время @functional @P1","","","EDGE-02: Создание события в прошлом",""
"skipped","Mon Feb 16 20:38:00 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","0","webkit","functional/edge-cases.spec.ts","Edge Cases - Длина и формат данных @functional @P1","","","EDGE-06: Пустой заголовок события",""
"passed","Mon Feb 16 20:38:50 UTC 2026","Mon Feb 16 20:38:55 UTC 2026","5567","chromium","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-03: Планшет - корректное отображение",""
"passed","Mon Feb 16 20:37:42 UTC 2026","Mon Feb 16 20:37:49 UTC 2026","7728","chromium","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: small - Маленький размер",""
"passed","Mon Feb 16 20:37:39 UTC 2026","Mon Feb 16 20:37:48 UTC 2026","8716","webkit","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-05: Формы имеют связанные labels",""
"skipped","Mon Feb 16 20:37:24 UTC 2026","Mon Feb 16 20:37:24 UTC 2026","1","mobile-chrome","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-09: Удаление события во время синхронизации @video @critical",""
"passed","Mon Feb 16 20:37:51 UTC 2026","Mon Feb 16 20:37:57 UTC 2026","5754","firefox","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-01: Страница содержит элементы для формирования виджета",""
